SM700_2_OUTPUT_1,POE\Main\Code.GB,11,OUT,294,0,Write,,SAFEBOOL,SQX14.0,,VAR_GLOBAL,GLOBAL,,
SM700_2_RELEASE_1,POE\Main\Code.GB,11,OUT,295,0,Write,,BOOL,NSQX133.0,,VAR_GLOBAL,GLOBAL,,
SM_400_1_OK,POE\Main\Code.GB,1,IN,0,14,Read,,SAFEBOOL,SIX17.0,,VAR_GLOBAL,GLOBAL,,
SM_400_2_OK,POE\Main\Code.GB,1,IN,1,14,Read,,SAFEBOOL,SIX17.1,,VAR_GLOBAL,GLOBAL,,
SM_400_2_OUTPUT_1,POE\Main\Code.GB,5,OUT,87,0,Write,,SAFEBOOL,SQX13.0,,VAR_GLOBAL,GLOBAL,,
SM_400_2_OUTPUT_2,POE\Main\Code.GB,9,OUT,132,71,Write,,SAFEBOOL,SQX13.1,,VAR_GLOBAL,GLOBAL,,
SM_400_2_RELEASE_1,POE\Main\Code.GB,6,OUT,88,77,Write,,BOOL,NSQX132.0,,VAR_GLOBAL,GLOBAL,,
SM_400_2_RELEASE_2,POE\Main\Code.GB,9,OUT,133,71,Write,,BOOL,NSQX132.1,,VAR_GLOBAL,GLOBAL,,
SM_400_401_DI_1,POE\Main\Code.GB,7,IN,154,37,Read,,BOOL,NSIX134.0,,VAR_GLOBAL,GLOBAL,,
SM_400_401_GS_P1,POE\Main\Code.GB,7,IN,155,42,Read,,SAFEBOOL,SIX65.0,,VAR_GLOBAL,GLOBAL,,
SM_400_401_OK,POE\Main\Code.GB,1,IN,2,12,Read,,SAFEBOOL,SIX17.4,,VAR_GLOBAL,GLOBAL,,
SM_400_402_DI_1,POE\Main\Code.GB,7,IN,451,26,Read,,BOOL,NSIX140.0,,VAR_GLOBAL,GLOBAL,,
SM_400_402_GS_P1,POE\Main\Code.GB,10,IN,450,60,Read,,SAFEBOOL,SIX77.0,,VAR_GLOBAL,GLOBAL,,
SM_400_402_OK,POE\Main\Code.GB,1,IN,5,12,Read,,SAFEBOOL,SIX17.7,,VAR_GLOBAL,GLOBAL,,
SM_400_421_OK,POE\Main\Code.GB,1,IN,3,12,Read,,SAFEBOOL,SIX17.5,,VAR_GLOBAL,GLOBAL,,
SM_400_422_OK,POE\Main\Code.GB,1,IN,445,13,Read,,SAFEBOOL,SIX18.5,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_OK,POE\Main\Code.GB,5,IN,100,27,Read,,SAFEBOOL,SIX18.4,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_OK,POE\Main\Code.GB,8,IN,107,31,Read,,SAFEBOOL,SIX18.4,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_OUTPUT_1,POE\Main\Code.GB,5,OUT,94,0,Write,,SAFEBOOL,SQX15.0,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_OUTPUT_2,POE\Main\Code.GB,9,OUT,183,72,Write,,SAFEBOOL,SQX15.1,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_OUTPUT_3,POE\Main\Code.GB,9,OUT,184,73,Write,,SAFEBOOL,SQX15.2,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_RELEASE_2,POE\Main\Code.GB,9,OUT,185,71,Write,,BOOL,NSQX150.1,,VAR_GLOBAL,GLOBAL,,
SM_400_K51_RELEASE_3,POE\Main\Code.GB,9,OUT,186,72,Write,,BOOL,NSQX150.2,,VAR_GLOBAL,GLOBAL,,
SM_401_ESTOP_P3,POE\Main\Code.GB,1,IN,56,10,Read,,SAFEBOOL,SIX65.2,,VAR_GLOBAL,GLOBAL,,
SM_402_ESTOP_P3,POE\Main\Code.GB,4,IN,64,10,Read,,SAFEBOOL,SIX77.2,,VAR_GLOBAL,GLOBAL,,
SM_411_ESTOP_P3,POE\Main\Code.GB,4,IN,63,10,Read,,SAFEBOOL,SIX73.2,,VAR_GLOBAL,GLOBAL,,
SM_421_ESTOP_P3,POE\Main\Code.GB,4,IN,60,10,Read,,SAFEBOOL,SIX69.2,,VAR_GLOBAL,GLOBAL,,
SM_421_PULLCORD_P4,POE\Main\Code.GB,4,IN,61,6,Read,,SAFEBOOL,SIX69.3,,VAR_GLOBAL,GLOBAL,,
SM_700_1_OK,POE\Main\Code.GB,1,IN,40,13,Read,,SAFEBOOL,SIX17.2,,VAR_GLOBAL,GLOBAL,,
SM_700_2_OK,POE\Main\Code.GB,1,IN,41,13,Read,,SAFEBOOL,SIX17.3,,VAR_GLOBAL,GLOBAL,,
SM_700_2_OUTPUT_2,POE\Main\Code.GB,14,OUT,437,0,Write,,SAFEBOOL,SQX14.1,,VAR_GLOBAL,GLOBAL,,
SM_700_2_OUTPUT_3,POE\Main\Code.GB,14,OUT,438,0,Write,,SAFEBOOL,SQX14.2,,VAR_GLOBAL,GLOBAL,,
SM_700_2_OUTPUT_4,POE\Main\Code.GB,17,OUT,439,0,Write,,SAFEBOOL,SQX14.3,,VAR_GLOBAL,GLOBAL,,
SM_700_2_RELEASE_2,POE\Main\Code.GB,14,OUT,442,0,Write,,BOOL,NSQX133.1,,VAR_GLOBAL,GLOBAL,,
SM_700_2_RELEASE_3,POE\Main\Code.GB,14,OUT,441,0,Write,,BOOL,NSQX133.2,,VAR_GLOBAL,GLOBAL,,
SM_700_2_RELEASE_4,POE\Main\Code.GB,17,OUT,440,0,Write,,BOOL,NSQX133.3,,VAR_GLOBAL,GLOBAL,,
SM_700_401_DI_1,POE\Main\Code.GB,13,IN,426,18,Read,,BOOL,NSIX144.0,,VAR_GLOBAL,GLOBAL,,
SM_700_401_ESTOP_P3,POE\Main\Code.GB,10,IN,243,10,Read,,SAFEBOOL,SIX85.2,,VAR_GLOBAL,GLOBAL,,
SM_700_401_GS_P1,POE\Main\Code.GB,13,IN,339,54,Read,,SAFEBOOL,SIX85.0,,VAR_GLOBAL,GLOBAL,,
SM_700_401_OK,POE\Main\Code.GB,1,IN,47,11,Read,,SAFEBOOL,SIX18.1,,VAR_GLOBAL,GLOBAL,,
SM_700_402_DI_1,POE\Main\Code.GB,13,IN,427,7,Read,,BOOL,NSIX146.0,,VAR_GLOBAL,GLOBAL,,
SM_700_402_ESTOP_P3,POE\Main\Code.GB,10,IN,244,10,Read,,SAFEBOOL,SIX89.2,,VAR_GLOBAL,GLOBAL,,
SM_700_402_GS_P1,POE\Main\Code.GB,13,IN,428,49,Read,,SAFEBOOL,SIX89.0,,VAR_GLOBAL,GLOBAL,,
SM_700_402_OK,POE\Main\Code.GB,1,IN,48,11,Read,,SAFEBOOL,SIX18.2,,VAR_GLOBAL,GLOBAL,,
SM_700_403_DI_1,POE\Main\Code.GB,16,IN,429,16,Read,,BOOL,NSIX148.0,,VAR_GLOBAL,GLOBAL,,
SM_700_403_ESTOP_P3,POE\Main\Code.GB,10,IN,245,10,Read,,SAFEBOOL,SIX93.2,,VAR_GLOBAL,GLOBAL,,
SM_700_403_GS_P1,POE\Main\Code.GB,16,IN,430,52,Read,,SAFEBOOL,SIX93.0,,VAR_GLOBAL,GLOBAL,,
SM_700_403_OK,POE\Main\Code.GB,1,IN,49,11,Read,,SAFEBOOL,SIX18.3,,VAR_GLOBAL,GLOBAL,,
SM_700_411_ESTOP_P3,POE\Main\Code.GB,10,IN,239,10,Read,,SAFEBOOL,SIX81.2,,VAR_GLOBAL,GLOBAL,,
SM_700_411_OK,POE\Main\Code.GB,1,IN,46,11,Read,,SAFEBOOL,SIX18.0,,VAR_GLOBAL,GLOBAL,,
Zone_11_Healthy,POE\Main\Code.GB,11,OUT,284,11,Write,,SAFEBOOL,,,VAR_GLOBAL,GLOBAL,,
Zone_11_Healthy,POE\Main\Code.GB,13,IN,358,52,Read,,SAFEBOOL,,,VAR_GLOBAL,GLOBAL,,
Zone_11_Healthy,POE\Main\Code.GB,13,IN,338,57,Read,,SAFEBOOL,,,VAR_GLOBAL,GLOBAL,,
Zone_11_Healthy,POE\Main\Code.GB,16,IN,399,55,Read,,SAFEBOOL,,,VAR_GLOBAL,GLOBAL,,
